Time,Memory (MB)
1676333789.8356304,2349
1676333790.8482816,2345
1676333791.8981018,2339
1676333792.932566,2335
1676333793.9651027,2338
1676333795.0000732,2342
1676333796.0296652,2341
1676333797.0651274,2343
1676333798.1220188,2349
1676333799.186486,2347
1676333800.237202,2350
1676333801.264491,2332
1676333802.3276029,2344
1676333803.3681192,2337
1676333804.410175,2333
1676333805.433781,2351
1676333806.4651392,2341
1676333807.4923432,2347
1676333808.5392334,2348
1676333809.6038258,2340
1676333810.67668,2341
1676333811.7610335,2342
1676333812.7873988,2340
1676333813.8147266,2338
1676333814.8527567,2340
1676333815.8930254,2343
1676333816.9667943,2339
1676333818.0034394,2343
1676333819.0217767,2332
1676333820.0412002,2333
1676333821.1131856,2337
1676333822.1377423,2339
1676333823.165511,2338
1676333824.1970172,2342
1676333825.3025708,2349
1676333826.366375,2358
1676333827.4410148,2348
1676333828.4541452,2333
1676333829.5122674,2351
1676333830.6366656,2348
1676333831.7288566,2355
1676333832.7581403,2352
1676333833.8156219,2351
1676333834.8811839,2348
1676333835.9526298,2340
1676333837.0137796,2341
1676333838.0651052,2338
1676333839.121471,2349
1676333840.2092621,2351
1676333841.2856226,2356
1676333842.3274665,2354
1676333843.3770218,2352
1676333844.441877,2351
1676333845.5030248,2344
1676333846.5432012,2354
1676333847.6010492,2347
1676333848.6154947,2335
1676333849.6558042,2331
1676333850.7027235,2340
1676333851.758611,2360
1676333852.7922697,2355
1676333853.8330266,2341
1676333854.921031,2346
1676333855.9697819,2348
1676333857.0476992,2333
1676333858.0936568,2351
1676333859.1246543,2356
1676333860.1499507,2352
1676333861.235197,2343
1676333862.2635527,2347
1676333863.2991805,2344
1676333864.3424766,2349
1676333865.3778298,2346
1676333866.425552,2341
1676333867.4981558,2351
1676333868.5213351,2345
1676333869.5605159,2345
1676333870.6141067,2344
1676333871.6990683,2357
1676333872.7362971,2356
1676333873.7534347,2357
1676333874.802637,2338
1676333875.869248,2341
1676333876.9250293,2341
1676333877.959466,2346
1676333879.0464182,2362
1676333880.136435,2348
1676333881.197933,2351
1676333882.2538218,2349
1676333883.317479,2352
1676333884.3499622,2328
1676333885.3862684,2338
1676333886.4151154,2349
1676333887.4571428,2331
1676333888.483169,2334
1676333889.5375097,2321
1676333890.5529742,2334
1676333891.6091962,2339
1676333892.6396065,2330
1676333893.6545155,2334
1676333894.7104383,2336
1676333895.7715042,2335
1676333896.8531973,2341
1676333897.8999527,2344
1676333898.9250898,2333
1676333899.9549487,2339
1676333901.0052588,2344
1676333902.0686023,2337
1676333903.1175625,2336
1676333904.1533382,2354
1676333905.2492545,2346
1676333906.374783,2339
1676333907.41148,2338
1676333908.4778223,2321
1676333909.5295882,2344
1676333910.593196,2346
1676333911.634821,2330
1676333912.693112,2330
1676333913.750343,2337
1676333914.7981932,2340
1676333915.8503518,2352
1676333916.8783236,2343
1676333917.9690516,2336
