Time,Memory (MB)
1676397132.632238,2196
1676397133.6617844,2196
1676397134.744601,2195
1676397135.797981,2194
1676397136.8390331,2174
1676397137.9019358,2183
1676397138.9295561,2202
1676397139.9856489,2198
1676397140.9995754,2204
1676397142.0650177,2204
1676397143.0982213,2204
1676397144.1405723,2186
1676397145.214598,2189
1676397146.2989173,2189
1676397147.3373048,2208
1676397148.3533258,2199
1676397149.39241,2196
1676397150.441189,2205
1676397151.5293245,2192
1676397152.5690567,2198
1676397153.5915375,2196
1676397154.6635213,2197
1676397155.705338,2202
1676397156.7214353,2180
1676397157.765921,2203
1676397158.8243394,2201
1676397159.863545,2198
1676397160.9249513,2200
1676397161.961126,2201
1676397163.0116441,2204
1676397164.061155,2190
1676397165.1436503,2198
1676397166.1807973,2205
1676397167.221117,2203
1676397168.3243635,2206
1676397169.3810833,2196
1676397170.4219694,2201
1676397171.4745102,2205
1676397172.581568,2216
1676397173.6187778,2203
1676397174.6788416,2202
1676397175.7224522,2200
1676397176.8381183,2211
1676397177.9027286,2190
1676397178.9443583,2201
1676397180.069743,2202
1676397181.107012,2192
1676397182.1425338,2194
1676397183.184262,2204
1676397184.2321515,2202
1676397185.2569282,2199
1676397186.3009973,2202
1676397187.3310149,2206
1676397188.3692155,2202
1676397189.443986,2197
1676397190.4903069,2199
1676397191.50391,2210
1676397192.5957491,2209
1676397193.6260755,2197
1676397194.6636848,2203
1676397195.7232451,2193
1676397196.7490544,2198
1676397197.818689,2208
1676397198.8742247,2204
1676397199.9311173,2201
1676397200.9950724,2210
1676397202.0324183,2213
1676397203.0572987,2200
1676397204.0990927,2203
1676397205.1330302,2203
1676397206.201086,2204
1676397207.2221215,2198
1676397208.2341793,2192
1676397209.2428107,2196
1676397210.3070328,2209
1676397211.3453524,2199
1676397212.3770185,2197
1676397213.4106727,2207
1676397214.4210055,2202
1676397215.4912646,2201
1676397216.5277088,2204
1676397217.604847,2201
1676397218.6757607,2198
1676397219.7279801,2195
1676397220.7417393,2202
1676397221.8203866,2203
1676397222.871831,2207
1676397223.91755,2198
1676397224.9433675,2205
1676397226.009783,2207
1676397227.059652,2200
1676397228.1196158,2197
1676397229.209168,2196
1676397230.2419655,2203
1676397231.3287728,2208
1676397232.335993,2205
1676397233.405855,2209
1676397234.4703035,2216
1676397235.505801,2211
1676397236.5453212,2199
1676397237.6739614,2200
1676397238.6827326,2203
1676397239.7414067,2215
1676397240.779386,2208
1676397241.820668,2206
1676397242.8571486,2202
1676397243.9249818,2199
1676397244.9933317,2196
1676397246.0548117,2194
1676397247.1240594,2190
1676397248.1779082,2203
1676397249.186337,2201
1676397250.21723,2203
1676397251.296551,2207
1676397252.32607,2196
1676397253.3856506,2199
1676397254.4682364,2205
1676397255.5673513,2190
1676397256.6162915,2193
1676397257.6614447,2202
1676397258.69408,2202
1676397259.7287304,2192
