Time,CPU %
1676334100.6138184,77.72277227722772
1676334101.6331193,78.60696517412936
1676334102.6462946,77.40259740259741
1676334103.6656,75.0
1676334104.6909158,75.18987341772151
1676334105.734047,78.37150127226464
1676334106.7596388,79.80535279805353
1676334107.7836504,75.75
1676334108.7982507,80.30690537084399
1676334109.8221161,73.7789203084833
1676334110.8453991,80.89330024813896
1676334111.8655472,73.98989898989899
1676334112.8861904,78.22784810126582
1676334113.9056394,74.80719794344472
1676334114.9442947,75.8974358974359
1676334115.9691317,79.94923857868021
1676334116.9922996,78.80299251870323
1676334117.9994051,74.68354430379746
1676334119.0172007,74.8051948051948
1676334120.0296586,76.51515151515152
1676334121.0415595,74.24242424242425
1676334122.0568318,77.37789203084833
1676334123.0973067,74.93606138107417
1676334124.1172214,81.79551122194513
1676334125.149369,76.82619647355163
1676334126.1682224,81.90954773869346
1676334127.203148,80.77922077922078
1676334128.223968,78.05486284289277
1676334129.2453732,75.90673575129534
1676334130.261209,75.43859649122807
1676334131.2938483,74.4186046511628
1676334132.3157222,75.57251908396947
1676334133.3434403,78.22784810126582
1676334134.3636339,78.03030303030303
1676334135.3761435,79.13486005089058
1676334136.4002824,76.90355329949239
1676334137.4147263,77.32997481108312
1676334138.4268148,73.84615384615385
1676334139.4398537,80.50632911392405
1676334140.452722,74.4186046511628
1676334141.4861312,76.84478371501272
1676334142.4974658,78.40616966580977
1676334143.5176954,76.41025641025641
1676334144.5422978,78.37150127226464
1676334145.549283,75.43859649122807
1676334146.5736415,78.90625
1676334147.5814712,77.72151898734178
1676334148.6001387,77.63819095477386
1676334149.6082768,81.51898734177216
1676334150.6301339,77.21518987341773
1676334151.6485283,80.05115089514067
1676334152.6654365,75.75
1676334153.6839259,75.91623036649214
1676334154.712692,80.45685279187818
1676334155.7331493,74.93734335839599
1676334156.753272,82.87153652392946
1676334157.7725534,79.34508816120906
1676334158.8012607,72.22222222222221
1676334159.8322647,77.1356783919598
1676334160.8539329,73.76237623762376
1676334161.8667727,76.51515151515152
1676334162.882586,78.00511508951406
1676334163.9074717,76.6497461928934
1676334164.9369016,75.9493670886076
1676334165.9616706,76.76767676767678
1676334166.9856045,74.36548223350255
1676334168.0195017,77.35368956743002
1676334169.0436301,73.79134860050891
1676334170.0608904,78.39195979899498
1676334171.0784864,75.25773195876289
1676334172.0921123,79.44162436548223
1676334173.12231,74.1025641025641
1676334174.1444936,78.8265306122449
1676334175.1586492,82.87153652392946
1676334176.1779158,77.00258397932816
1676334177.1930785,78.26086956521739
1676334178.2306828,74.8730964467005
1676334179.2663937,78.41191066997519
1676334180.2776525,77.363184079602
1676334181.2832503,78.46153846153847
1676334182.2903354,73.90180878552972
1676334183.3041856,80.20565552699227
1676334184.3225644,75.12953367875647
1676334185.3492699,77.63819095477386
1676334186.369403,72.70408163265306
1676334187.376711,74.80916030534351
1676334188.3989666,79.02813299232736
1676334189.4169781,77.97468354430379
1676334190.4250302,78.51662404092072
1676334191.4514093,76.66666666666666
1676334192.478216,74.35897435897436
1676334193.4947982,76.3681592039801
1676334194.516283,77.63819095477386
1676334195.534502,75.5050505050505
1676334196.554926,78.93401015228426
1676334197.5664504,78.66004962779157
1676334198.5870192,78.68020304568529
1676334199.6083167,77.00258397932816
1676334200.6355484,77.49360613810742
1676334201.6449783,76.86567164179104
1676334202.6546752,74.54068241469815
1676334203.6835434,75.06493506493507
1676334204.697156,70.55837563451777
1676334205.7107105,79.7979797979798
1676334206.7361147,72.42268041237114
1676334207.7542312,75.83547557840618
1676334208.7731786,75.76530612244898
1676334209.792724,76.21483375959079
1676334210.8066545,80.91603053435115
1676334211.8353672,75.06493506493507
1676334212.857089,78.58942065491183
1676334213.8747375,74.24242424242425
1676334214.8846793,75.38461538461539
1676334215.9015176,78.77237851662404
1676334216.920495,75.93984962406014
1676334217.9364629,75.8974358974359
1676334218.9528565,75.37688442211055
1676334219.9711647,73.94736842105263
1676334220.9945076,77.6349614395887
1676334222.0017912,71.1734693877551
1676334223.017013,79.74358974358975
1676334224.0431955,77.46835443037975
1676334225.0724885,78.68020304568529
1676334226.0879858,78.42639593908629
1676334227.0984228,74.93606138107417
1676334228.109143,79.94923857868021
1676334229.1349807,73.50649350649351
