Time,Memory (MB)
1676334100.6138184,2152
1676334101.6331193,2146
1676334102.6462946,2140
1676334103.6656,2122
1676334104.6909158,2130
1676334105.734047,2146
1676334106.7596388,2167
1676334107.7836504,2162
1676334108.7982507,2152
1676334109.8221161,2148
1676334110.8453991,2147
1676334111.8655472,2147
1676334112.8861904,2161
1676334113.9056394,2153
1676334114.9442947,2156
1676334115.9691317,2159
1676334116.9922996,2157
1676334117.9994051,2147
1676334119.0172007,2157
1676334120.0296586,2166
1676334121.0415595,2153
1676334122.0568318,2150
1676334123.0973067,2146
1676334124.1172214,2145
1676334125.149369,2145
1676334126.1682224,2154
1676334127.203148,2163
1676334128.223968,2148
1676334129.2453732,2150
1676334130.261209,2162
1676334131.2938483,2145
1676334132.3157222,2156
1676334133.3434403,2150
1676334134.3636339,2152
1676334135.3761435,2145
1676334136.4002824,2153
1676334137.4147263,2151
1676334138.4268148,2149
1676334139.4398537,2163
1676334140.452722,2161
1676334141.4861312,2162
1676334142.4974658,2156
1676334143.5176954,2160
1676334144.5422978,2156
1676334145.549283,2161
1676334146.5736415,2152
1676334147.5814712,2153
1676334148.6001387,2144
1676334149.6082768,2148
1676334150.6301339,2159
1676334151.6485283,2152
1676334152.6654365,2156
1676334153.6839259,2150
1676334154.712692,2137
1676334155.7331493,2146
1676334156.753272,2169
1676334157.7725534,2154
1676334158.8012607,2161
1676334159.8322647,2156
1676334160.8539329,2154
1676334161.8667727,2143
1676334162.882586,2145
1676334163.9074717,2150
1676334164.9369016,2151
1676334165.9616706,2162
1676334166.9856045,2150
1676334168.0195017,2138
1676334169.0436301,2140
1676334170.0608904,2138
1676334171.0784864,2151
1676334172.0921123,2155
1676334173.12231,2149
1676334174.1444936,2164
1676334175.1586492,2158
1676334176.1779158,2153
1676334177.1930785,2162
1676334178.2306828,2161
1676334179.2663937,2160
1676334180.2776525,2171
1676334181.2832503,2163
1676334182.2903354,2165
1676334183.3041856,2162
1676334184.3225644,2163
1676334185.3492699,2167
1676334186.369403,2177
1676334187.376711,2173
1676334188.3989666,2161
1676334189.4169781,2161
1676334190.4250302,2153
1676334191.4514093,2156
1676334192.478216,2147
1676334193.4947982,2155
1676334194.516283,2162
1676334195.534502,2169
1676334196.554926,2147
1676334197.5664504,2148
1676334198.5870192,2136
1676334199.6083167,2146
1676334200.6355484,2162
1676334201.6449783,2161
1676334202.6546752,2161
1676334203.6835434,2150
1676334204.697156,2157
1676334205.7107105,2161
1676334206.7361147,2163
1676334207.7542312,2160
1676334208.7731786,2160
1676334209.792724,2163
1676334210.8066545,2172
1676334211.8353672,2148
1676334212.857089,2165
1676334213.8747375,2168
1676334214.8846793,2173
1676334215.9015176,2169
1676334216.920495,2163
1676334217.9364629,2166
1676334218.9528565,2167
1676334219.9711647,2168
1676334220.9945076,2160
1676334222.0017912,2165
1676334223.017013,2152
1676334224.0431955,2151
1676334225.0724885,2153
1676334226.0879858,2151
1676334227.0984228,2148
1676334228.109143,2165
1676334229.1349807,2165
